Date,AAPL,MSFT,TSLA,NVDA,GOOGL,META,ORCL,ADBE,AMZN,AMD
2014-04-15,16.293819427490234,33.660491943359375,12.927332878112793,4.371041297912598,27.434999465942383,59.02737045288086,33.98654556274414,62.11000061035156,15.803999900817871,3.7899999618530273
2014-04-16,16.326860427856445,34.21091842651367,13.27400016784668,4.380517959594727,28.19499969482422,59.65670394897461,34.32872772216797,63.040000915527344,16.18400001525879,3.759999990463257
2014-04-17,16.51340103149414,33.880653381347656,13.208000183105469,4.397100925445557,27.16699981689453,58.87752914428711,34.28594207763672,64.04000091552734,16.245500564575195,3.690000057220459
2014-04-21,16.709379196166992,33.82138442993164,13.625332832336426,4.4326372146606445,26.9685001373291,61.17509460449219,34.42282485961914,64.30000305175781,16.543500900268555,4.119999885559082
2014-04-22,16.726055145263672,33.86371612548828,14.576000213623047,4.470545768737793,27.274999618530273,62.96319580078125,34.61101531982422,64.4800033569336,16.465999603271484,4.300000190734863
2014-04-23,16.507421493530273,33.609676361083984,13.866000175476074,4.522665977478027,26.875499725341797,61.29496765136719,34.03786087036133,64.38999938964844,16.229000091552734,4.25
2014-04-24,17.86073112487793,33.753639221191406,13.857333183288574,4.56294059753418,26.722000122070312,60.805484771728516,34.00364685058594,63.220001220703125,16.857500076293945,4.28000020980835
2014-04-25,17.991914749145508,33.79598617553711,13.323332786560059,4.437377452850342,26.155000686645508,57.648834228515625,33.74702453613281,61.61000061035156,15.191499710083008,4.050000190734863
2014-04-28,18.688697814941406,34.608917236328125,13.234000205993652,4.418423652648926,26.14900016784668,56.08049774169922,34.32872772216797,60.400001525878906,14.829000473022461,3.9600000381469727
2014-04-29,18.633338928222656,34.304054260253906,13.79466724395752,4.427901744842529,26.816499710083008,58.0883674621582,34.311607360839844,60.90999984741211,15.019000053405762,4.03000020980835
2014-04-30,18.562870025634766,34.21091842651367,13.859333038330078,4.375778675079346,26.743999481201172,59.71664047241211,34.97030258178711,61.689998626708984,15.206500053405762,4.090000152587891
2014-05-01,18.60659408569336,33.872196197509766,13.84866714477539,4.39946985244751,26.92650032043457,61.08518981933594,35.04728698730469,62.59000015258789,15.394499778747559,4.199999809265137
2014-05-02,18.641199111938477,33.609676361083984,14.060667037963867,4.366304397583008,26.693500518798828,60.39591979980469,34.910430908203125,61.560001373291016,15.400500297546387,4.119999885559082
2014-05-05,18.90481185913086,33.389503479003906,14.440667152404785,4.413684368133545,26.76650047302246,61.155113220214844,35.25260543823242,61.439998626708984,15.5024995803833,4.090000152587891
2014-05-06,18.698768615722656,33.076194763183594,13.8186674118042,4.3236589431762695,26.12849998474121,58.46796417236328,35.08150863647461,59.439998626708984,14.869000434875488,4.010000228881836
2014-05-07,18.633338928222656,33.38105773925781,13.423333168029785,4.328397274017334,25.899999618530273,57.32917404174805,35.124267578125,58.630001068115234,14.635499954223633,3.9700000286102295
2014-05-08,18.600122451782227,33.56734085083008,11.906000137329102,4.382885932922363,26.008499145507812,56.6998405456543,34.96174621582031,59.08000183105469,14.416000366210938,3.930000066757202
2014-05-09,18.522613525390625,33.482662200927734,12.150667190551758,4.276276588439941,26.33099937438965,57.1793327331543,35.107177734375,59.59000015258789,14.612000465393066,3.869999885559082
2014-05-12,18.753225326538086,33.84679412841797,12.311332702636719,4.40183687210083,26.921499252319336,59.7665901184082,35.885623931884766,60.70000076293945,15.142999649047852,3.9700000286102295
2014-05-13,18.782644271850586,34.46931076049805,12.677332878112793,4.330766201019287,27.07699966430664,59.7665901184082,35.83430099487305,60.810001373291016,15.232000350952148,4.03000020980835
2014-05-14,18.7861270904541,34.315818786621094,12.708000183105469,4.288120746612549,26.720500946044922,59.16722106933594,35.825740814208984,60.880001068115234,14.880999565124512,3.9800000190734863
2014-05-15,18.626375198364258,33.77002716064453,12.572667121887207,4.264429569244385,26.45599937438965,57.85860824584961,35.86851119995117,60.20000076293945,14.759499549865723,3.9600000381469727
2014-05-16,18.90127182006836,33.966182708740234,12.77066707611084,4.254952907562256,26.415000915527344,57.9585075378418,35.6631965637207,61.63999938964844,14.885000228881836,4.019999980926514
2014-05-19,19.12523651123047,33.8979606628418,13.072667121887207,4.392362117767334,26.941499710083008,59.14724349975586,36.06526565551758,62.20000076293945,14.838000297546387,4.090000152587891
2014-05-20,19.129026412963867,33.838253021240234,13.020000457763672,4.34119176864624,27.019500732421875,58.49793243408203,35.5519905090332,61.709999084472656,15.059499740600586,4.050000190734863
2014-05-21,19.17963981628418,34.40962219238281,13.296667098999023,4.34119176864624,27.485000610351562,60.42588806152344,35.6546516418457,62.470001220703125,15.250499725341797,4.099999904632568
2014-05-22,19.210006713867188,34.19642639160156,13.658666610717773,4.360231876373291,27.772499084472656,60.45585632324219,35.51778030395508,63.150001525878906,15.245499610900879,4.010000228881836
2014-05-23,19.427017211914062,34.21348190307617,13.819999694824219,4.400692939758301,28.190000534057617,61.28497314453125,36.05670928955078,64.30000305175781,15.612000465393066,4.019999980926514
2014-05-27,19.790802001953125,34.27317810058594,14.104000091552734,4.479233264923096,28.743499755859375,63.412715911865234,35.85139465332031,65.25,15.541000366210938,4.039999961853027
2014-05-28,19.739543914794922,34.119667053222656,14.015999794006348,4.517314434051514,28.522499084472656,63.442684173583984,35.5605583190918,64.83999633789062,15.508000373840332,4.0
2014-05-29,20.099224090576172,34.401092529296875,14.015999794006348,4.510175704956055,28.527999877929688,63.76234817504883,36.0994758605957,65.44999694824219,15.689000129699707,4.03000020980835
